Bury,Bristol Rvs,2-1
Accrington,Northampton,0-1
AFC Wimbledon,Bristol Rvs,0-0
Burton,Plymouth,1-0
Bury,Exeter,2-0
Cheltenham,Southend,1-2
Chesterfield,Newport County,1-1
Morecambe,Mansfield,0-1
Oxford,Fleetwood Town,0-2
Portsmouth,Hartlepool,1-0
Rochdale,York,0-0
Torquay,Scunthorpe,0-1
Wycombe,Dag and Red,2-0
Newport County,Plymouth,1-2
Bristol Rvs,Torquay,1-2
Dag and Red,Portsmouth,1-4
Exeter,Cheltenham,1-1
Fleetwood Town,Morecambe,2-2
Hartlepool,Chesterfield,1-2
Mansfield,Rochdale,3-0
Newport County,Wycombe,2-0
Northampton,Burton,1-0
Plymouth,Oxford,0-2
Scunthorpe,Bury,2-2
Southend,AFC Wimbledon,0-1
York,Accrington,1-1
Accrington,Mansfield,1-1
AFC Wimbledon,Newport County,2-2
Bury,Plymouth,4-0
Cheltenham,Fleetwood Town,1-2
Chesterfield,Exeter,1-1
Morecambe,Scunthorpe,1-1
Oxford,York,0-1
Rochdale,Southend,0-3
Torquay,Dag and Red,0-1
Wycombe,Northampton,1-1
Burton,Hartlepool,3-0
Portsmouth,Bristol Rvs,3-2
Bristol Rvs,Rochdale,1-2
Dag and Red,Chesterfield,0-1
Exeter,Torquay,1-2
Fleetwood Town,Wycombe,1-0
Hartlepool,Morecambe,2-1
Mansfield,Cheltenham,0-2
Newport County,Burton,1-1
Northampton,Portsmouth,0-1
Plymouth,AFC Wimbledon,1-2
Scunthorpe,Oxford,1-0
Southend,Accrington,1-0
York,Bury,1-0
AFC Wimbledon,Morecambe,0-3
Bury,Portsmouth,4-4
Dag and Red,Northampton,0-3
Exeter,Scunthorpe,2-0
Fleetwood Town,Southend,1-1
Mansfield,Torquay,1-3
Oxford,Accrington,1-2
Plymouth,Hartlepool,1-1
Rochdale,Cheltenham,2-0
Wycombe,Bristol Rvs,1-2
York,Newport County,1-0
Burton,Chesterfield,0-2
Accrington,AFC Wimbledon,3-2
Bristol Rvs,Mansfield,0-1
Cheltenham,Dag and Red,2-3
Chesterfield,Fleetwood Town,2-1
Hartlepool,Exeter,0-2
Morecambe,Bury,0-0
Newport County,Rochdale,2-1
Northampton,Oxford,3-1
Portsmouth,Plymouth,3-3
Scunthorpe,York,2-2
Southend,Burton,1-0
Torquay,Wycombe,0-3
