Crawley Town,Wolves,2-1
Brentford,Coventry,3-1
Colchester,Bristol City,2-2
Gillingham,Crewe,1-3
Notts County,Carlisle,4-1
Oldham,Crawley Town,1-0
Peterboro,Rotherham,0-1
Port Vale,Tranmere,3-2
Sheffield United,Wolves,0-2
Shrewsbury,Bradford,2-1
Stevenage,Milton Keynes Dons,2-3
Swindon,Preston,1-0
Walsall,Leyton Orient,1-1
Bradford,Walsall,0-2
Bristol City,Port Vale,5-0
Carlisle,Shrewsbury,0-0
Crawley Town,Sheffield United,0-2
Crewe,Notts County,1-3
Leyton Orient,Oldham,1-1
Milton Keynes Dons,Gillingham,0-1
Preston,Peterboro,3-1
Rotherham,Brentford,3-0
Tranmere,Swindon,1-2
Wolves,Colchester,4-2
Coventry,Stevenage,1-0
Crewe,Coventry,1-2
Leyton Orient,Bradford,0-1
Milton Keynes Dons,Wolves,0-1
Notts County,Colchester,2-0
Oldham,Brentford,0-0
Preston,Crawley Town,1-0
Rotherham,Bristol City,2-1
Stevenage,Port Vale,1-1
Swindon,Sheffield United,2-1
Tranmere,Carlisle,0-0
Walsall,Shrewsbury,1-0
Coventry,Bradford,0-0
Port Vale,Crawley Town,2-1
Sheffield United,Brentford,0-0
Stevenage,Wolves,0-0
Peterboro,Colchester,2-0
Bradford,Oldham,2-3
Brentford,Notts County,3-1
Bristol City,Preston,1-1
Carlisle,Swindon,1-0
Colchester,Tranmere,1-2
Coventry,Milton Keynes Dons,1-2
Crawley Town,Crewe,1-2
Gillingham,Rotherham,3-4
Port Vale,Walsall,1-0
Sheffield United,Leyton Orient,1-1
Shrewsbury,Stevenage,1-0
Wolves,Peterboro,2-0
Brentford,Crawley Town,1-0
Peterboro,Gillingham,2-0
Sheffield United,Rotherham,1-0
Rotherham,Bradford,0-0
Crewe,Wolves,0-2
Leyton Orient,Gillingham,5-1
Milton Keynes Dons,Crawley Town,0-2
Notts County,Port Vale,4-2
Peterboro,Coventry,1-0
Preston,Carlisle,6-1
Stevenage,Colchester,2-3
Swindon,Brentford,1-0
Tranmere,Shrewsbury,2-1
Walsall,Bristol City,0-1
Crawley Town,Tranmere,2-0
Bradford,Peterboro,1-0
Brentford,Preston,1-0
Bristol City,Notts County,2-1
Carlisle,Walsall,1-1
Colchester,Oldham,0-1
Coventry,Swindon,1-2
Crawley Town,Leyton Orient,2-1
Gillingham,Tranmere,2-0
Port Vale,Milton Keynes Dons,1-0
Sheffield United,Stevenage,1-0
Shrewsbury,Crewe,1-3
Wolves,Rotherham,6-4
Crewe,Colchester,0-0
Leyton Orient,Wolves,1-3
Milton Keynes Dons,Brentford,2-2
Notts County,Crawley Town,1-0
Oldham,Coventry,0-0
Peterboro,Carlisle,4-1
Preston,Shrewsbury,5-2
Rotherham,Port Vale,1-0
Stevenage,Bristol City,1-3
Swindon,Bradford,1-0
Tranmere,Sheffield United,0-0
Walsall,Gillingham,1-1
Port Vale,Sheffield United,1-2
Bradford,Crawley Town,2-1
Bristol City,Crewe,0-0
Carlisle,Oldham,0-1
Colchester,Brentford,4-1
Coventry,Wolves,1-1
Leyton Orient,Tranmere,2-0
Notts County,Swindon,2-0
Preston,Gillingham,3-1
Rotherham,Milton Keynes Dons,2-2
Shrewsbury,Peterboro,2-4
Stevenage,Walsall,3-2
Crawley Town,Carlisle,0-0
Oldham,Sheffield United,1-1
Brentford,Stevenage,2-0
Crawley Town,Bristol City,1-1
Crewe,Preston,2-1
Gillingham,Shrewsbury,1-1
Milton Keynes Dons,Leyton Orient,1-3
Oldham,Notts County,1-1
Peterboro,Port Vale,0-0
Sheffield United,Coventry,2-1
Swindon,Rotherham,1-2
Tranmere,Bradford,1-2
Walsall,Colchester,0-1
Wolves,Carlisle,3-0
