Nuneaton Town,Barnet,0-1
Welling United,Luton,1-2
Barnet,Braintree Town,1-1
Cambridge,Chester,0-1
Dartford,Tamworth,2-3
Grimsby,Hyde United,1-0
Hereford,Alfreton Town,3-2
Kidderminster,Nuneaton Town,0-0
Luton,Forest Green,4-1
Macclesfield,Gateshead,0-2
Salisbury,Welling United,3-0
Southport,Halifax,2-1
Woking,Aldershot,1-2
Wrexham,Lincoln,0-1
Aldershot,Hereford,1-2
Alfreton Town,Macclesfield,0-1
Braintree Town,Grimsby,0-0
Chester,Salisbury,2-2
Forest Green,Wrexham,1-1
Gateshead,Cambridge,2-0
Halifax,Kidderminster,1-1
Hyde United,Luton,0-1
Lincoln,Barnet,3-3
Nuneaton Town,Dartford,3-1
Tamworth,Woking,2-4
Welling United,Southport,4-3
